Month,Average_Views,Gain_Stream,% Gain_Stream,Peak_Views,Average_Stream,Gain_Views,% Gain_Views,Peak_Stream,Value,Gain_Hours,% Gain_Hours
20-Oct,151000.00,"-53,045",-26%,754000.00,3000.00,-450,-12.90%,9100.00,83.4M,-63.5M,-43.20%
20-Sep,204000.00,"162,989",396%,743000.00,3500.00,"2,985",598%,12400.00,147M,+116M,380%
20-Aug,41100.00,"35,502",629%,267000.00,499.00,445,824%,3000.00,30.6M,+26.4M,634%
20-Jul,5600.00,"5,473",+3.2K%,88300.00,54.00,40,286%,221.00,4.16M,+4.04M,+3.4K%
20-Jun,171.00,-280,-62.10%,7000.00,14.00,1,7.70%,61.00,120K,-202K,-62.70%
20-May,451.00,291,182%,27500.00,13.00,5,62.50%,42.00,322K,+216K,204%
20-Apr,160.00,42,35.60%,3800.00,8.00,3,60%,36.00,106K,+32.1K,43.60%
20-Mar,118.00,34,40.50%,16700.00,5.00,1,25%,22.00,73.8K,+27.8K,60.60%
20-Feb,84.00,6,7.70%,2400.00,4.00,2,100%,17.00,45.9K,+12.1K,35.70%
20-Jan,78.00,49,169%,2800.00,2.00,1,100%,11.00,33.9K,+25.6K,311%
19-Dec,29.00,5,20.80%,1200.00,1.00,-,-,5.00,8.2K,+1.6K,25%
19-Nov,24.00,9,60%,2100.00,1.00,-1,-50%,7.00,6.6K,227,3.60%
19-Oct,15.00,-32,-68.10%,523.00,2.00,-,-,8.00,6.4K,-20.3K,-76.10%
19-Sep,47.00,-75,-61.50%,6000.00,2.00,-1,-33.30%,12.00,26.7K,-31.2K,-53.90%
19-Aug,122.00,90,281%,26400.00,3.00,1,50%,13.00,57.9K,+42.7K,280%
19-Jul,32.00,23,256%,2000.00,2.00,1,100%,11.00,15.2K,+14.0K,+1.2K%
19-Jun,9.00,8,800%,259.00,1.00,-,-,4.00,1.2K,+1.1K,+1.4K%
19-May,1.00,-2,-66.70%,11.00,1.00,-,-,3.00,81,-96,-54.20%
19-Apr,3.00,2,200%,68.00,1.00,-,-,3.00,177,128,261%
19-Mar,1.00,-,-,7.00,1.00,-,-,3.00,49,46,+1.5K%
19-Feb,1.00,-307,-99.70%,3.00,1.00,-,-,1.00,3,-2.9K,-99.90%
19-Jan,308.00,242,367%,4400.00,1.00,-,-,2.00,2.9K,967,50.70%
18-Dec,66.00,"-1,487",-95.80%,455.00,1.00,-,-,1.00,1.9K,-7.4K,-79.50%
18-Nov,1600.00,-,-,7400.00,1.00,-,-,3.00,9.3K,-,-
