Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English
shroud,888505170,30240,471281,29612,7744066,833587,30621257,True,False,English
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,True,False,English
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,True,False,English
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,True,False,English
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,True,False,English
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,True,False,English
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,True,False,English
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,True,False,English
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,True,False,English
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,True,False,English
Syndicate,289369785,58695,22845,4281,3000509,282047,13227099,True,False,English
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,True,False,English
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,True,False,English
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,True,True,English
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,True,False,English
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,True,False,English
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,True,False,English
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,True,False,English
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,True,True,English
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,True,False,English
TSM_Hamlinz,167898480,11055,51989,15483,2137521,126150,2268382,True,False,English
CouRageJD,131341275,14010,72100,8717,2115596,120434,2874860,False,False,English
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,True,False,English
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,True,False,English
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,True,False,English
Loserfruit,212318190,99525,42374,1816,1869993,790345,10477877,True,False,English
Cizzorz,125812350,56970,11782,1891,1866339,222573,3095942,True,False,English
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,True,False,English
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,True,False,English
Gosu,244854375,64590,16362,3502,1751290,185952,9377658,True,False,English
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,True,False,English
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,True,False,English
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,True,False,English
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,True,False,English
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,True,False,English
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,True,True,English
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,True,False,English
FACEIT TV (faceittv),292881510,35910,145470,9722,1681615,23166,17259602,True,False,English
HighDistortion,169501845,105630,20179,1397,1677690,61126,5125402,True,False,English
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,True,False,English
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,True,False,English
MrSavage,251627985,33030,31525,6883,1651212,734583,9931629,True,False,English
