Month,Value,Gain,% Gain,
Oct-20,83.4M,-63.5M,-43.20%,
Sep-20,147M,+116M,380%,
Aug-20,30.6M,+26.4M,634%,
Jul-20,4.16M,+4.04M,+3.4K%,
Jun-20,120K,-202K,-62.70%,
May-20,322K,+216K,204%,
Apr-20,106K,+32.1K,43.60%,
Mar-20,73.8K,+27.8K,60.60%,
Feb-20,45.9K,+12.1K,35.70%,
Jan-20,33.9K,+25.6K,311%,
Dec-19,8.2K,+1.6K,25%,
Nov-19,6.6K,227,3.60%,
Oct-19,6.4K,-20.3K,-76.10%,
Sep-19,26.7K,-31.2K,-53.90%,
Aug-19,57.9K,+42.7K,280%,
Jul-19,15.2K,+14.0K,+1.2K%,
Jun-19,1.2K,+1.1K,+1.4K%,
May-19,81,-96,-54.20%,
Apr-19,177,128,261%,
Mar-19,49,46,+1.5K%,
Feb-19,3,-2.9K,-99.90%,
Jan-19,2.9K,967,50.70%,
Dec-18,1.9K,-7.4K,-79.50%,
Nov-18,9.3K,-,-,
