Month,Average,Gain,% Gain,Peak
Oct-20,102K,-462,-0.50%,403K
Sep-20,103K,"-10,619",-9.40%,364K
Aug-20,113K,"-4,921",-4.20%,947K
Jul-20,118K,"-2,347",-1.90%,359K
Jun-20,121K,"-2,486",-2%,403K
May-20,123K,"11,598",10.40%,354K
Apr-20,111K,"-18,165",-14%,396K
Mar-20,130K,"116,659",902%,521K
Feb-20,12.9K,804,6.60%,74.8K
Jan-20,12.1K,"-11,671",-49%,85.7K
Dec-19,23.8K,"-13,947",-36.90%,116K
Nov-19,37.7K,"6,617",21.30%,140K
Oct-19,31.1K,"14,208",84%,373K
Sep-19,16.9K,"12,688",300%,293K
Aug-19,4.2K,"3,501",478%,387K
Jul-19,733,727,+12.1K%,134K
Jun-19,6,-122,-95.30%,1.1K
May-19,128,-,-,7.4K
